d_lam_mm,gap_mm,freq_hz,target_bn_t,bn_mean_lt0,p_side_lt0,p_side_lt2,dp_abs_w,dp_pct,bx_gapface_t,bx_mid_t
0.050000,4.000000,10000,0.500000,5.013894e-01,1.930759e+00,1.901434e+00,-2.932500e-02,-1.5188,2.172542e-05,2.038701e-02
0.050000,4.000000,10000,1.000000,1.002779e+00,7.723037e+00,7.605735e+00,-1.173020e-01,-1.5189,4.345084e-05,4.077402e-02
0.050000,4.000000,30000,0.100000,1.002778e-01,6.542965e-01,6.492388e-01,-5.057700e-03,-0.7730,4.348741e-06,5.544590e-03
0.050000,4.000000,30000,0.500000,5.013888e-01,1.635741e+01,1.623097e+01,-1.264400e-01,-0.7730,2.174370e-05,2.772295e-02
0.050000,4.000000,30000,1.000000,1.002778e+00,6.542965e+01,6.492388e+01,-5.057700e-01,-0.7730,4.348741e-05,5.544590e-02
0.050000,4.000000,100000,0.100000,1.002771e-01,4.981157e+00,4.985739e+00,4.582000e-03,0.0920,4.425089e-06,6.501686e-03
0.050000,4.000000,100000,0.500000,5.013854e-01,1.245289e+02,1.246435e+02,1.146000e-01,0.0920,2.212544e-05,3.250843e-02
0.050000,4.000000,100000,1.000000,1.002771e+00,4.981157e+02,4.985739e+02,4.582000e-01,0.0920,4.425089e-05,6.501686e-02
0.050000,4.000000,200000,0.100000,1.002764e-01,1.385620e+01,1.388192e+01,2.572000e-02,0.1856,4.489891e-06,6.511707e-03
0.050000,4.000000,200000,0.500000,5.013822e-01,3.464049e+02,3.470481e+02,6.432000e-01,0.1857,2.244946e-05,3.255854e-02
0.050000,4.000000,200000,1.000000,1.002764e+00,1.385620e+03,1.388192e+03,2.572000e+00,0.1856,4.489891e-05,6.511707e-02
0.100000,2.000000,10000,0.100000,1.001346e-01,2.802284e-01,2.796064e-01,-6.220000e-04,-0.2220,2.928963e-08,6.212346e-03
0.100000,2.000000,10000,0.500000,5.006730e-01,7.005709e+00,6.990160e+00,-1.554900e-02,-0.2219,1.464481e-07,3.106173e-02
0.100000,2.000000,10000,1.000000,1.001346e+00,2.802284e+01,2.796064e+01,-6.220000e-02,-0.2220,2.928963e-07,6.212346e-02
0.100000,2.000000,30000,0.100000,1.001339e-01,1.647925e+00,1.653198e+00,5.273000e-03,0.3200,4.664752e-08,6.756819e-03
0.100000,2.000000,30000,0.500000,5.006694e-01,4.119812e+01,4.132994e+01,1.318200e-01,0.3200,2.332376e-07,3.378409e-02
0.100000,2.000000,30000,1.000000,1.001339e+00,1.647925e+02,1.653198e+02,5.273000e-01,0.3200,4.664752e-07,6.756819e-02
0.100000,2.000000,100000,0.100000,1.001326e-01,9.881613e+00,9.924392e+00,4.277900e-02,0.4329,8.433991e-08,6.842247e-03
0.100000,2.000000,100000,0.500000,5.006630e-01,2.470403e+02,2.481098e+02,1.069500e+00,0.4329,4.216995e-07,3.421124e-02
0.100000,2.000000,100000,1.000000,1.001326e+00,9.881613e+02,9.924392e+02,4.277900e+00,0.4329,8.433991e-07,6.842247e-02
0.100000,2.000000,200000,0.100000,1.001314e-01,2.794939e+01,2.808502e+01,1.356300e-01,0.4853,1.180865e-07,6.903380e-03
0.100000,2.000000,200000,0.500000,5.006571e-01,6.987347e+02,7.021255e+02,3.390800e+00,0.4853,5.904327e-07,3.451690e-02
0.100000,2.000000,200000,1.000000,1.001314e+00,2.794939e+03,2.808502e+03,1.356300e+01,0.4853,1.180865e-06,6.903380e-02
0.100000,3.000000,10000,0.100000,1.002015e-01,2.785011e-01,2.774863e-01,-1.014800e-03,-0.3644,1.310147e-07,5.931412e-03
0.100000,3.000000,10000,0.500000,5.010073e-01,6.962529e+00,6.937157e+00,-2.537200e-02,-0.3644,6.550735e-07,2.965706e-02
0.100000,3.000000,10000,1.000000,1.002015e+00,2.785011e+01,2.774863e+01,-1.014800e-01,-0.3644,1.310147e-06,5.931412e-02
0.100000,3.000000,30000,0.100000,1.002007e-01,1.637766e+00,1.641273e+00,3.507000e-03,0.2141,1.867263e-07,6.472581e-03
0.100000,3.000000,30000,0.500000,5.010037e-01,4.094414e+01,4.103181e+01,8.767000e-02,0.2141,9.336316e-07,3.236291e-02
0.100000,3.000000,30000,1.000000,1.002007e+00,1.637766e+02,1.641273e+02,3.507000e-01,0.2141,1.867263e-06,6.472581e-02
0.100000,3.000000,100000,0.100000,1.001994e-01,9.820670e+00,9.853650e+00,3.298000e-02,0.3358,3.596915e-07,6.557863e-03
0.100000,3.000000,100000,0.500000,5.009972e-01,2.455168e+02,2.463412e+02,8.244000e-01,0.3358,1.798458e-06,3.278932e-02
0.100000,3.000000,100000,1.000000,1.001994e+00,9.820670e+02,9.853650e+02,3.298000e+00,0.3358,3.596915e-06,6.557863e-02
0.100000,3.000000,200000,0.100000,1.001983e-01,2.777696e+01,2.788553e+01,1.085700e-01,0.3909,5.423584e-07,6.619452e-03
0.100000,3.000000,200000,0.500000,5.009913e-01,6.944239e+02,6.971382e+02,2.714300e+00,0.3909,2.711792e-06,3.309726e-02
0.100000,3.000000,200000,1.000000,1.001983e+00,2.777696e+03,2.788553e+03,1.085700e+01,0.3909,5.423584e-06,6.619452e-02
0.100000,4.000000,10000,0.100000,1.002777e-01,2.775052e-01,2.761616e-01,-1.343600e-03,-0.4842,4.356508e-06,5.959990e-03
0.100000,4.000000,10000,0.500000,5.013883e-01,6.937630e+00,6.904040e+00,-3.359000e-02,-0.4842,2.178254e-05,2.979995e-02
0.100000,4.000000,10000,1.000000,1.002777e+00,2.775052e+01,2.761616e+01,-1.343600e-01,-0.4842,4.356508e-05,5.959990e-02
0.100000,4.000000,30000,0.100000,1.002769e-01,1.631907e+00,1.634014e+00,2.107000e-03,0.1291,4.442032e-06,6.504321e-03
0.100000,4.000000,30000,0.500000,5.013846e-01,4.079767e+01,4.085035e+01,5.268000e-02,0.1291,2.221016e-05,3.252161e-02
0.100000,4.000000,30000,1.000000,1.002769e+00,1.631907e+02,1.634014e+02,2.107000e-01,0.1291,4.442032e-05,6.504321e-02
0.100000,4.000000,100000,0.100000,1.002756e-01,9.785520e+00,9.810865e+00,2.534500e-02,0.2590,4.576075e-06,6.590767e-03
0.100000,4.000000,100000,0.500000,5.013780e-01,2.446380e+02,2.452716e+02,6.336000e-01,0.2590,2.288037e-05,3.295384e-02
0.100000,4.000000,100000,1.000000,1.002756e+00,9.785520e+02,9.810865e+02,2.534500e+00,0.2590,4.576075e-05,6.590767e-02
0.100000,4.000000,200000,0.100000,1.002744e-01,2.767749e+01,2.776513e+01,8.764000e-02,0.3166,4.702202e-06,6.654175e-03
0.100000,4.000000,200000,0.500000,5.013720e-01,6.919372e+02,6.941282e+02,2.191000e+00,0.3166,2.351101e-05,3.327088e-02
0.100000,4.000000,200000,1.000000,1.002744e+00,2.767749e+03,2.776513e+03,8.764000e+00,0.3166,4.702202e-05,6.654175e-02
