case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,y_mm,bx_abs_t,by_abs_t
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,34.874000,3.136656e-08,3.828677e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,35.300000,1.260924e-08,3.828677e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,35.726000,5.656723e-08,3.828676e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,36.152000,1.005308e-07,3.828676e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,36.578000,1.314213e-03,3.879994e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,37.004000,1.174370e-03,3.958633e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,37.430000,1.034526e-03,4.037271e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,37.856000,1.663658e-03,4.112933e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,38.282000,2.958276e-03,4.186018e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,38.708000,3.607689e-03,4.258134e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,39.134000,3.180542e-03,4.328632e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,39.560000,2.697165e-03,4.395691e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,39.986000,1.912679e-03,4.444331e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,40.412000,1.128192e-03,4.492970e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,40.838000,1.158459e-03,4.546827e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,41.264000,1.922576e-03,4.605384e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,41.690000,3.027735e-03,4.654857e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,42.116000,4.852914e-03,4.685155e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,42.542000,6.678093e-03,4.715453e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,42.968000,7.859031e-03,4.748701e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,43.394000,8.850608e-03,4.782815e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,43.820000,9.824470e-03,4.813442e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,44.246000,1.073896e-02,4.832379e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,44.672000,1.165344e-02,4.851317e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,45.098000,1.275080e-02,4.874079e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,45.524000,1.506631e-02,4.894766e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,45.950000,1.716228e-02,4.916868e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,46.376000,1.916482e-02,4.939591e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,46.802000,2.076756e-02,4.953539e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,47.228000,2.379323e-02,4.955732e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,47.654000,2.726555e-02,4.967569e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,48.080000,3.073787e-02,4.979406e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,48.506000,3.421019e-02,4.991242e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,48.932000,3.768251e-02,5.003079e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,49.358000,4.115483e-02,5.014916e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,49.784000,4.490961e-02,5.011189e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,50.210000,4.892741e-02,4.992971e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,50.636000,5.294522e-02,4.974752e-01
