case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,bx_gapface_t,by_gapface_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w
B30089,LT0_OFF,3.000000,30000,0.500000,0.050000,0,0,2.111915e+02,5.010078e-01,1.866541e-02,4.929298e-01,5.029762e-07,3.532945e-01,9.280678e-06,1.749368e+00,4.497293e+01,3.283896e+01,1.641611e+01
B30090,LT0_OFF,3.000000,30000,1.000000,0.050000,0,0,4.223829e+02,1.002016e+00,3.733082e-02,9.858596e-01,1.005952e-06,7.065890e-01,9.280678e-06,1.749368e+00,1.798917e+02,1.313558e+02,6.566446e+01
B30091,LT0_OFF,3.000000,100000,0.100000,0.050000,0,0,4.230622e+01,1.002009e-01,3.733800e-03,9.858485e-02,9.830838e-08,7.066111e-02,9.265778e-06,5.821862e+00,1.323167e+01,1.000013e+01,4.999038e+00
B30092,LT0_OFF,3.000000,100000,0.500000,0.050000,0,0,2.115311e+02,5.010044e-01,1.866900e-02,4.929242e-01,4.915419e-07,3.533055e-01,9.265778e-06,5.821862e+00,3.307917e+02,2.500031e+02,1.249760e+02
B30093,LT0_OFF,3.000000,100000,1.000000,0.050000,0,0,4.230622e+02,1.002009e+00,3.733800e-02,9.858485e-01,9.830837e-07,7.066111e-01,9.265778e-06,5.821862e+00,1.323167e+03,1.000013e+03,4.999038e+02
B30094,LT0_OFF,3.000000,200000,0.100000,0.050000,0,0,4.236948e+01,1.002003e-01,3.734469e-03,9.858381e-02,1.130212e-07,7.066317e-02,9.251943e-06,1.162634e+01,4.104180e+01,2.781760e+01,1.390595e+01
B30095,LT0_OFF,3.000000,200000,0.500000,0.050000,0,0,2.118474e+02,5.010013e-01,1.867235e-02,4.929190e-01,5.651060e-07,3.533158e-01,9.251943e-06,1.162634e+01,1.026045e+03,6.954400e+02,3.476488e+02
B30096,LT0_OFF,3.000000,200000,1.000000,0.050000,0,0,4.236948e+02,1.002003e+00,3.734469e-02,9.858381e-01,1.130212e-06,7.066317e-01,9.251943e-06,1.162634e+01,4.104180e+03,2.781760e+03,1.390595e+03
B30097,LT0_OFF,4.000000,10000,0.100000,0.050000,0,0,5.259955e+01,1.002779e-01,3.630494e-03,9.881025e-02,4.346421e-06,6.601359e-02,7.452535e-06,4.682572e-01,5.958719e-01,1.544509e-01,7.723037e-02
B30098,LT0_OFF,4.000000,10000,0.500000,0.050000,0,0,2.629978e+02,5.013894e-01,1.815247e-02,4.940513e-01,2.173210e-05,3.300679e-01,7.452535e-06,4.682572e-01,1.489680e+01,3.861273e+00,1.930759e+00
B30099,LT0_OFF,4.000000,10000,1.000000,0.050000,0,0,5.259955e+02,1.002779e+00,3.630494e-02,9.881025e-01,4.346421e-05,6.601359e-01,7.452535e-06,4.682572e-01,5.958719e+01,1.544509e+01,7.723037e+00
B30100,LT0_OFF,4.000000,30000,0.100000,0.050000,0,0,5.261209e+01,1.002778e-01,3.630656e-03,9.881002e-02,4.353191e-06,6.601399e-02,7.450759e-06,1.404436e+00,2.125052e+00,1.308510e+00,6.542965e-01
B30101,LT0_OFF,4.000000,30000,0.500000,0.050000,0,0,2.630604e+02,5.013888e-01,1.815328e-02,4.940501e-01,2.176595e-05,3.300699e-01,7.450759e-06,1.404436e+00,5.312631e+01,3.271275e+01,1.635741e+01
B30102,LT0_OFF,4.000000,30000,1.000000,0.050000,0,0,5.261209e+02,1.002778e+00,3.630656e-02,9.881002e-01,4.353191e-05,6.601399e-01,7.450759e-06,1.404436e+00,2.125052e+02,1.308510e+02,6.542965e+01
B30103,LT0_OFF,4.000000,100000,0.100000,0.050000,0,0,5.268014e+01,1.002771e-01,3.631541e-03,9.880878e-02,4.389904e-06,6.601615e-02,7.441134e-06,4.675404e+00,1.541980e+01,9.961683e+00,4.981157e+00
B30104,LT0_OFF,4.000000,100000,0.500000,0.050000,0,0,2.634007e+02,5.013854e-01,1.815770e-02,4.940439e-01,2.194952e-05,3.300807e-01,7.441134e-06,4.675404e+00,3.854951e+02,2.490421e+02,1.245289e+02
B30105,LT0_OFF,4.000000,100000,1.000000,0.050000,0,0,5.268014e+02,1.002771e+00,3.631541e-02,9.880878e-01,4.389904e-05,6.601615e-01,7.441134e-06,4.675404e+00,1.541980e+03,9.961683e+02,4.981157e+02
B30106,LT0_OFF,4.000000,200000,0.100000,0.050000,0,0,5.274352e+01,1.002764e-01,3.632363e-03,9.880762e-02,4.424208e-06,6.601816e-02,7.432192e-06,9.339570e+00,4.931502e+01,2.771064e+01,1.385620e+01
B30107,LT0_OFF,4.000000,200000,0.500000,0.050000,0,0,2.637176e+02,5.013822e-01,1.816182e-02,4.940381e-01,2.212104e-05,3.300908e-01,7.432192e-06,9.339570e+00,1.232875e+03,6.927660e+02,3.464049e+02
B30108,LT0_OFF,4.000000,200000,1.000000,0.050000,0,0,5.274352e+02,1.002764e+00,3.632363e-02,9.880762e-01,4.424208e-05,6.601816e-01,7.432192e-06,9.339570e+00,4.931502e+03,2.771064e+03,1.385620e+03
B30109,LT0_OFF,2.000000,10000,0.100000,0.100000,0,0,3.055400e+01,1.001346e-01,4.051572e-03,9.901835e-02,4.252262e-08,7.657434e-02,1.282974e-05,8.061183e-01,6.590729e-01,5.604353e-01,2.802284e-01
B30110,LT0_OFF,2.000000,10000,0.500000,0.100000,0,0,1.527700e+02,5.006730e-01,2.025786e-02,4.950918e-01,2.126131e-07,3.828717e-01,1.282974e-05,8.061183e-01,1.647682e+01,1.401088e+01,7.005709e+00
