f_Hz,x_mm,y_mm,absA_full,absA_sig0,absBx_full,absBx_sig0,absBy_full,absBy_sig0
1000,0.100000,26.019000,4.854341e-05,2.029047e-05,9.909556e-03,8.141428e-03,3.828057e-01,1.195809e-01
1000,0.100000,26.138000,4.965556e-05,2.094437e-05,1.011124e-02,8.398846e-03,3.851692e-01,1.200121e-01
1000,0.100000,26.257000,5.087257e-05,2.164018e-05,9.213020e-03,8.656827e-03,3.865201e-01,1.204713e-01
1000,0.100000,26.376000,5.189338e-05,2.235627e-05,8.700262e-03,8.956994e-03,3.889726e-01,1.209405e-01
1000,0.100000,26.495000,5.275593e-05,2.311852e-05,8.757632e-03,9.280708e-03,3.914485e-01,1.214684e-01
1000,0.100000,26.614000,5.337774e-05,2.393288e-05,9.621899e-03,9.625791e-03,3.960798e-01,1.220711e-01
1000,0.100000,26.733000,5.489867e-05,2.481960e-05,7.831207e-03,9.960978e-03,4.009518e-01,1.227096e-01
1000,0.100000,26.852000,5.503967e-05,2.576185e-05,8.661796e-03,1.032682e-02,4.006631e-01,1.233119e-01
1000,0.100000,26.971000,5.592042e-05,2.676625e-05,1.054108e-02,1.071840e-02,4.023390e-01,1.239228e-01
1000,0.100000,27.090000,5.737501e-05,2.785949e-05,1.113172e-02,1.108103e-02,4.037330e-01,1.244067e-01
1000,0.100000,27.209000,5.817328e-05,2.900887e-05,1.046274e-02,1.145058e-02,3.981896e-01,1.247730e-01
1000,0.100000,27.328000,5.938668e-05,3.025442e-05,1.014002e-02,1.191312e-02,3.972806e-01,1.252554e-01
1000,0.100000,27.447000,6.036908e-05,3.157158e-05,9.595712e-03,1.236783e-02,3.959464e-01,1.257221e-01
1000,0.100000,27.566000,6.100496e-05,3.296296e-05,8.834548e-03,1.283139e-02,3.932462e-01,1.261552e-01
1000,0.100000,27.685000,6.127412e-05,3.445611e-05,9.222153e-03,1.329099e-02,3.945081e-01,1.266337e-01
1000,0.100000,27.804000,6.188542e-05,3.601496e-05,1.222660e-02,1.388120e-02,3.872168e-01,1.267678e-01
1000,0.100000,27.923000,6.329969e-05,3.767772e-05,1.316594e-02,1.450146e-02,3.836819e-01,1.269189e-01
1000,0.100000,28.042000,6.511703e-05,3.946433e-05,1.313391e-02,1.512073e-02,3.840251e-01,1.271234e-01
1000,0.100000,28.161000,6.692334e-05,4.130531e-05,1.390993e-02,1.580454e-02,3.823180e-01,1.272262e-01
1000,0.100000,28.280000,6.787733e-05,4.319265e-05,1.332968e-02,1.645318e-02,3.779403e-01,1.271895e-01
1000,0.100000,28.399000,6.966805e-05,4.522354e-05,1.367613e-02,1.715132e-02,3.730518e-01,1.270886e-01
1000,0.100000,28.518000,7.150622e-05,4.729726e-05,1.452783e-02,1.788614e-02,3.681878e-01,1.269653e-01
1000,0.100000,28.637000,7.184326e-05,4.940948e-05,1.619581e-02,1.858823e-02,3.636460e-01,1.267700e-01
1000,0.100000,28.756000,7.430059e-05,5.179134e-05,1.682751e-02,1.925874e-02,3.587367e-01,1.265373e-01
1000,0.100000,28.875000,7.675819e-05,5.417705e-05,1.748232e-02,1.995077e-02,3.538280e-01,1.263047e-01
