case_id,mode,gap_mm,freq_hz,target_bn_t,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0075,LT0_OFF,2.000000,200000,0.400000,0,0,1.222252e+02,4.005383e-01,1.620639e-02,3.960732e-01,1.282877e-05,1.612112e+01,3.041843e+02,1.874937e+02,9.375046e+01,0.000000e+00
C0076,LT0_OFF,2.000000,200000,0.800000,0,0,2.444505e+02,8.010765e-01,3.241278e-02,7.921465e-01,1.282877e-05,1.612112e+01,1.216737e+03,7.499750e+02,3.750018e+02,0.000000e+00
C0077,LT0_OFF,2.000000,200000,1.000000,0,0,3.055631e+02,1.001346e+00,4.051597e-02,9.901831e-01,1.282877e-05,1.612112e+01,1.901152e+03,1.171836e+03,5.859404e+02,0.000000e+00
C0078,LT0_OFF,2.000000,200000,1.300000,0,0,3.972320e+02,1.301749e+00,5.267077e-02,1.287238e+00,1.282877e-05,1.612112e+01,3.212947e+03,1.980403e+03,9.902392e+02,0.000000e+00
C0079,LT0_OFF,2.500000,200000,0.100000,0,0,3.659994e+01,1.001690e-01,4.008044e-03,9.871878e-02,1.071040e-05,1.345909e+01,2.254258e+01,1.167825e+01,5.838611e+00,0.000000e+00
C0080,LT0_OFF,2.500000,200000,0.200000,0,0,7.319989e+01,2.003379e-01,8.016088e-03,1.974376e-01,1.071040e-05,1.345909e+01,9.017032e+01,4.671300e+01,2.335445e+01,0.000000e+00
C0081,LT0_OFF,2.500000,200000,0.400000,0,0,1.463998e+02,4.006759e-01,1.603218e-02,3.948751e-01,1.071040e-05,1.345909e+01,3.606813e+02,1.868520e+02,9.341778e+01,0.000000e+00
C0082,LT0_OFF,2.500000,200000,0.800000,0,0,2.927996e+02,8.013518e-01,3.206435e-02,7.897502e-01,1.071040e-05,1.345909e+01,1.442725e+03,7.474080e+02,3.736711e+02,0.000000e+00
C0083,LT0_OFF,2.500000,200000,1.000000,0,0,3.659994e+02,1.001690e+00,4.008044e-02,9.871878e-01,1.071040e-05,1.345909e+01,2.254258e+03,1.167825e+03,5.838611e+02,0.000000e+00
C0084,LT0_OFF,2.500000,200000,1.300000,0,0,4.757993e+02,1.302197e+00,5.210457e-02,1.283344e+00,1.071040e-05,1.345909e+01,3.809696e+03,1.973624e+03,9.867253e+02,0.000000e+00
C0085,LT0_OFF,3.000000,200000,0.100000,0,0,4.224989e+01,1.002014e-01,3.733204e-03,9.858577e-02,9.278130e-06,1.165924e+01,2.636417e+01,1.164896e+01,5.823288e+00,0.000000e+00
