case_id,mode,gap_mm,freq_hz,target_bn_t,y_mm,bx_abs_t,by_abs_t
C0001,LT0_OFF,2.000000,10000,0.100000,50.778000,1.322821e-03,9.276401e-02
C0001,LT0_OFF,2.000000,10000,0.100000,50.920000,1.197420e-03,9.249159e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.062000,1.067602e-03,9.220772e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.204000,9.198436e-04,9.188597e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.346000,7.777209e-04,9.152273e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.488000,6.309651e-04,9.117415e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.630000,5.035192e-04,9.082540e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.772000,3.823902e-04,9.047314e-02
C0001,LT0_OFF,2.000000,10000,0.100000,51.914000,2.528245e-04,9.011513e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.056000,1.214832e-04,8.973856e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.198000,3.578420e-06,8.931795e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.340000,1.256253e-04,8.885142e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.482000,2.436584e-04,8.837546e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.624000,3.388161e-04,8.784601e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.766000,4.339737e-04,8.731656e-02
C0001,LT0_OFF,2.000000,10000,0.100000,52.908000,5.007639e-04,8.678575e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.050000,5.651495e-04,8.625484e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.192000,6.295351e-04,8.572392e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.334000,6.939207e-04,8.519300e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.476000,7.462237e-04,8.461451e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.618000,7.846896e-04,8.398154e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.760000,8.231556e-04,8.334857e-02
C0001,LT0_OFF,2.000000,10000,0.100000,53.902000,8.616215e-04,8.271559e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.044000,8.998700e-04,8.208217e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.186000,9.175336e-04,8.140605e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.328000,9.351972e-04,8.072993e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.470000,9.528609e-04,8.005380e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.612000,9.705245e-04,7.937768e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.754000,9.824916e-04,7.872098e-02
C0001,LT0_OFF,2.000000,10000,0.100000,54.896000,9.898865e-04,7.807988e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.038000,9.972815e-04,7.743877e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.180000,1.004676e-03,7.679766e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.322000,1.011297e-03,7.612142e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.464000,1.010872e-03,7.512558e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.606000,1.010447e-03,7.412974e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.748000,1.007334e-03,7.314867e-02
C0001,LT0_OFF,2.000000,10000,0.100000,55.890000,1.003825e-03,7.216978e-02
C0001,LT0_OFF,2.000000,10000,0.100000,56.032000,1.000485e-03,5.234096e-07
C0001,LT0_OFF,2.000000,10000,0.100000,56.174000,9.972380e-04,1.226682e-06
C0001,LT0_OFF,2.000000,10000,0.100000,56.316000,9.959564e-04,3.472171e-06
C0001,LT0_OFF,2.000000,10000,0.100000,56.458000,1.001804e-03,8.473174e-06
