case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0077,LT0_OFF,2.000000,200000,1.000000,0.010000,0,0,3.053161e+02,1.001348e+00,4.051322e-02,9.901872e-01,1.283915e-05,1.613415e+01,1.071229e+03,2.502828e+02,1.251462e+02,0.000000e+00
C0078,LT0_OFF,2.000000,200000,1.300000,0.010000,0,0,3.969109e+02,1.301752e+00,5.266719e-02,1.287243e+00,1.283915e-05,1.613415e+01,1.810377e+03,4.229780e+02,2.114971e+02,0.000000e+00
C0079,LT0_OFF,2.500000,200000,0.100000,0.010000,0,0,3.657524e+01,1.001692e-01,4.007796e-03,9.871921e-02,1.071763e-05,1.346818e+01,1.423406e+01,2.494262e+00,1.247021e+00,0.000000e+00
C0080,LT0_OFF,2.500000,200000,0.200000,0.010000,0,0,7.315048e+01,2.003384e-01,8.015591e-03,1.974384e-01,1.071763e-05,1.346818e+01,5.693626e+01,9.977047e+00,4.988085e+00,0.000000e+00
C0081,LT0_OFF,2.500000,200000,0.400000,0.010000,0,0,1.463010e+02,4.006769e-01,1.603118e-02,3.948768e-01,1.071763e-05,1.346818e+01,2.277450e+02,3.990819e+01,1.995234e+01,0.000000e+00
C0082,LT0_OFF,2.500000,200000,0.800000,0.010000,0,0,2.926019e+02,8.013537e-01,3.206236e-02,7.897536e-01,1.071763e-05,1.346818e+01,9.109801e+02,1.596328e+02,7.980936e+01,0.000000e+00
C0083,LT0_OFF,2.500000,200000,1.000000,0.010000,0,0,3.657524e+02,1.001692e+00,4.007796e-02,9.871921e-01,1.071763e-05,1.346818e+01,1.423406e+03,2.494262e+02,1.247021e+02,0.000000e+00
C0084,LT0_OFF,2.500000,200000,1.300000,0.010000,0,0,4.754781e+02,1.302200e+00,5.210134e-02,1.283350e+00,1.071763e-05,1.346818e+01,2.405557e+03,4.215303e+02,2.107466e+02,0.000000e+00
C0085,LT0_OFF,3.000000,200000,0.100000,0.010000,0,0,4.222516e+01,1.002017e-01,3.732942e-03,9.858617e-02,9.283564e-06,1.166607e+01,1.804427e+01,2.488007e+00,1.243749e+00,0.000000e+00
C0086,LT0_OFF,3.000000,200000,0.200000,0.010000,0,0,8.445032e+01,2.004034e-01,7.465885e-03,1.971723e-01,9.283564e-06,1.166607e+01,7.217709e+01,9.952029e+00,4.974995e+00,0.000000e+00
