mode,d_lam_mm,gap_mm,target_bn_t,alpha_core,alpha_side,r2_core,r2_side,n
LT2_ON,0.010000,2.000000,0.800000,1.998767,1.998767,1.000000,1.000000,4
LT2_ON,0.010000,2.000000,1.000000,1.998767,1.998767,1.000000,1.000000,4
LT2_ON,0.010000,2.000000,1.300000,1.998767,1.998767,1.000000,1.000000,4
LT2_ON,0.010000,2.500000,0.100000,1.998774,1.998773,1.000000,1.000000,4
LT2_ON,0.010000,2.500000,0.200000,1.998774,1.998773,1.000000,1.000000,4
LT2_ON,0.010000,2.500000,0.400000,1.998774,1.998773,1.000000,1.000000,4
LT2_ON,0.010000,2.500000,0.800000,1.998774,1.998773,1.000000,1.000000,4
LT2_ON,0.010000,2.500000,1.000000,1.998774,1.998773,1.000000,1.000000,4
LT2_ON,0.010000,2.500000,1.300000,1.998773,1.998773,1.000000,1.000000,4
LT2_ON,0.010000,3.000000,0.100000,1.998781,1.998780,1.000000,1.000000,4
LT2_ON,0.010000,3.000000,0.200000,1.998781,1.998779,1.000000,1.000000,4
LT2_ON,0.010000,3.000000,0.400000,1.998781,1.998779,1.000000,1.000000,4
LT2_ON,0.010000,3.000000,0.800000,1.998781,1.998779,1.000000,1.000000,4
LT2_ON,0.010000,3.000000,1.000000,1.998781,1.998780,1.000000,1.000000,4
LT2_ON,0.010000,3.000000,1.300000,1.998781,1.998779,1.000000,1.000000,4
LT2_ON,0.010000,4.000000,0.100000,1.998794,1.998793,1.000000,1.000000,4
LT2_ON,0.010000,4.000000,0.200000,1.998794,1.998793,1.000000,1.000000,4
LT2_ON,0.010000,4.000000,0.400000,1.998794,1.998793,1.000000,1.000000,4
LT2_ON,0.010000,4.000000,0.800000,1.998794,1.998793,1.000000,1.000000,4
LT2_ON,0.010000,4.000000,1.000000,1.998794,1.998793,1.000000,1.000000,4
LT2_ON,0.010000,4.000000,1.300000,1.998794,1.998793,1.000000,1.000000,4
LT2_ON,0.018000,2.000000,0.100000,1.986689,1.986691,0.999981,0.999981,4
LT2_ON,0.018000,2.000000,0.200000,1.986689,1.986691,0.999981,0.999981,4
LT2_ON,0.018000,2.000000,0.400000,1.986689,1.986691,0.999981,0.999981,4
LT2_ON,0.018000,2.000000,0.800000,1.986689,1.986691,0.999981,0.999981,4
LT2_ON,0.018000,2.000000,1.000000,1.986689,1.986691,0.999981,0.999981,4
LT2_ON,0.018000,2.000000,1.300000,1.986689,1.986691,0.999981,0.999981,4
LT2_ON,0.018000,2.500000,0.100000,1.986740,1.986735,0.999981,0.999981,4
LT2_ON,0.018000,2.500000,0.200000,1.986740,1.986735,0.999981,0.999981,4
LT2_ON,0.018000,2.500000,0.400000,1.986740,1.986735,0.999981,0.999981,4
LT2_ON,0.018000,2.500000,0.800000,1.986740,1.986735,0.999981,0.999981,4
LT2_ON,0.018000,2.500000,1.000000,1.986740,1.986735,0.999981,0.999981,4
LT2_ON,0.018000,2.500000,1.300000,1.986740,1.986735,0.999981,0.999981,4
LT2_ON,0.018000,3.000000,0.100000,1.986795,1.986785,0.999981,0.999981,4
LT2_ON,0.018000,3.000000,0.200000,1.986795,1.986785,0.999981,0.999981,4
LT2_ON,0.018000,3.000000,0.400000,1.986795,1.986785,0.999981,0.999981,4
LT2_ON,0.018000,3.000000,0.800000,1.986795,1.986785,0.999981,0.999981,4
LT2_ON,0.018000,3.000000,1.000000,1.986795,1.986785,0.999981,0.999981,4
LT2_ON,0.018000,3.000000,1.300000,1.986795,1.986785,0.999981,0.999981,4
LT2_ON,0.018000,4.000000,0.100000,1.986892,1.986884,0.999981,0.999981,4
LT2_ON,0.018000,4.000000,0.200000,1.986892,1.986884,0.999981,0.999981,4
LT2_ON,0.018000,4.000000,0.400000,1.986892,1.986884,0.999981,0.999981,4
LT2_ON,0.018000,4.000000,0.800000,1.986892,1.986884,0.999981,0.999981,4
LT2_ON,0.018000,4.000000,1.000000,1.986892,1.986884,0.999981,0.999981,4
LT2_ON,0.018000,4.000000,1.300000,1.986892,1.986884,0.999981,0.999981,4
LT2_ON,0.023000,2.000000,0.100000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,0.023000,2.000000,0.200000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,0.023000,2.000000,0.400000,1.965588,1.965591,0.999875,0.999875,4
LT2_ON,0.023000,2.000000,0.800000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,0.023000,2.000000,1.000000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,0.023000,2.000000,1.300000,1.965588,1.965590,0.999875,0.999875,4
LT2_ON,0.023000,2.500000,0.100000,1.965679,1.965669,0.999875,0.999875,4
LT2_ON,0.023000,2.500000,0.200000,1.965679,1.965669,0.999875,0.999875,4
LT2_ON,0.023000,2.500000,0.400000,1.965678,1.965669,0.999875,0.999875,4
LT2_ON,0.023000,2.500000,0.800000,1.965678,1.965669,0.999875,0.999875,4
LT2_ON,0.023000,2.500000,1.000000,1.965679,1.965669,0.999875,0.999875,4
LT2_ON,0.023000,2.500000,1.300000,1.965678,1.965669,0.999875,0.999875,4
LT2_ON,0.023000,3.000000,0.100000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,0.023000,3.000000,0.200000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,0.023000,3.000000,0.400000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,0.023000,3.000000,0.800000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,0.023000,3.000000,1.000000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,0.023000,3.000000,1.300000,1.965775,1.965758,0.999876,0.999875,4
LT2_ON,0.023000,4.000000,0.100000,1.965947,1.965932,0.999876,0.999876,4
LT2_ON,0.023000,4.000000,0.200000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,0.023000,4.000000,0.400000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,0.023000,4.000000,0.800000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,0.023000,4.000000,1.000000,1.965947,1.965932,0.999876,0.999876,4
LT2_ON,0.023000,4.000000,1.300000,1.965946,1.965932,0.999876,0.999876,4
LT2_ON,0.050000,2.000000,0.100000,1.739308,1.739311,0.997202,0.997202,4
LT2_ON,0.050000,2.000000,0.200000,1.739308,1.739311,0.997202,0.997202,4
LT2_ON,0.050000,2.000000,0.400000,1.739308,1.739311,0.997202,0.997202,4
LT2_ON,0.050000,2.000000,0.800000,1.739308,1.739311,0.997202,0.997202,4
LT2_ON,0.050000,2.000000,1.000000,1.739308,1.739311,0.997202,0.997202,4
LT2_ON,0.050000,2.000000,1.300000,1.739308,1.739311,0.997202,0.997202,4
LT2_ON,0.050000,2.500000,0.100000,1.739468,1.739454,0.997202,0.997202,4
LT2_ON,0.050000,2.500000,0.200000,1.739468,1.739454,0.997202,0.997202,4
LT2_ON,0.050000,2.500000,0.400000,1.739468,1.739454,0.997202,0.997202,4
LT2_ON,0.050000,2.500000,0.800000,1.739468,1.739454,0.997202,0.997202,4
LT2_ON,0.050000,2.500000,1.000000,1.739468,1.739454,0.997202,0.997202,4
LT2_ON,0.050000,2.500000,1.300000,1.739468,1.739454,0.997202,0.997202,4
LT2_ON,0.050000,3.000000,0.100000,1.739637,1.739615,0.997202,0.997202,4
LT2_ON,0.050000,3.000000,0.200000,1.739637,1.739615,0.997202,0.997202,4
LT2_ON,0.050000,3.000000,0.400000,1.739637,1.739615,0.997202,0.997202,4
LT2_ON,0.050000,3.000000,0.800000,1.739637,1.739615,0.997202,0.997202,4
LT2_ON,0.050000,3.000000,1.000000,1.739637,1.739615,0.997202,0.997202,4
LT2_ON,0.050000,3.000000,1.300000,1.739637,1.739614,0.997202,0.997202,4
LT2_ON,0.050000,4.000000,0.100000,1.739936,1.739913,0.997202,0.997202,4
LT2_ON,0.050000,4.000000,0.200000,1.739936,1.739913,0.997202,0.997202,4
LT2_ON,0.050000,4.000000,0.400000,1.739936,1.739913,0.997202,0.997202,4
LT2_ON,0.050000,4.000000,0.800000,1.739936,1.739913,0.997202,0.997202,4
LT2_ON,0.050000,4.000000,1.000000,1.739936,1.739913,0.997202,0.997202,4
LT2_ON,0.050000,4.000000,1.300000,1.739936,1.739913,0.997202,0.997202,4
LT2_ON,0.100000,2.000000,0.100000,1.533993,1.533995,0.999605,0.999605,4
LT2_ON,0.100000,2.000000,0.200000,1.533993,1.533994,0.999605,0.999605,4
LT2_ON,0.100000,2.000000,0.400000,1.533993,1.533995,0.999605,0.999605,4
LT2_ON,0.100000,2.000000,0.800000,1.533993,1.533994,0.999605,0.999605,4
LT2_ON,0.100000,2.000000,1.000000,1.533993,1.533995,0.999605,0.999605,4
LT2_ON,0.100000,2.000000,1.300000,1.533993,1.533994,0.999605,0.999605,4
LT2_ON,0.100000,2.500000,0.100000,1.534073,1.534067,0.999604,0.999604,4
LT2_ON,0.100000,2.500000,0.200000,1.534073,1.534067,0.999604,0.999604,4
LT2_ON,0.100000,2.500000,0.400000,1.534073,1.534067,0.999604,0.999604,4
LT2_ON,0.100000,2.500000,0.800000,1.534073,1.534068,0.999604,0.999604,4
LT2_ON,0.100000,2.500000,1.000000,1.534073,1.534067,0.999604,0.999604,4
LT2_ON,0.100000,2.500000,1.300000,1.534073,1.534068,0.999604,0.999604,4
LT2_ON,0.100000,3.000000,0.100000,1.534157,1.534149,0.999603,0.999603,4
LT2_ON,0.100000,3.000000,0.200000,1.534157,1.534149,0.999603,0.999603,4
LT2_ON,0.100000,3.000000,0.400000,1.534157,1.534149,0.999603,0.999603,4
LT2_ON,0.100000,3.000000,0.800000,1.534157,1.534149,0.999603,0.999603,4
LT2_ON,0.100000,3.000000,1.000000,1.534157,1.534149,0.999603,0.999603,4
LT2_ON,0.100000,3.000000,1.300000,1.534157,1.534149,0.999603,0.999603,4
LT2_ON,0.100000,4.000000,0.100000,1.534305,1.534295,0.999601,0.999601,4
LT2_ON,0.100000,4.000000,0.200000,1.534305,1.534295,0.999601,0.999601,4
LT2_ON,0.100000,4.000000,0.400000,1.534305,1.534295,0.999601,0.999601,4
LT2_ON,0.100000,4.000000,0.800000,1.534305,1.534295,0.999601,0.999601,4
LT2_ON,0.100000,4.000000,1.000000,1.534305,1.534295,0.999601,0.999601,4
LT2_ON,0.100000,4.000000,1.300000,1.534305,1.534295,0.999601,0.999601,4
